VILLE;Code_postal;SUPERFICIE;POPULATION
MORVILLIERS;80240;629.0;165
MORVILLIERS;21430;1833.0;128
MORVILLIERS;62260;314.0;2935
MORVILLIERS;38550;1016.0;2101
MORVILLIERS;47410;1286.0;174
MORVILLIERS;80300;506.0;117
MORVILLIERS;4300;4331.0;4775
MORVILLIERS;33113;4869.0;86
MORVILLIERS;46150;476.0;354
MORVILLIERS;65500;469.0;448
MORVILLIERS;50190;1244.0;301
MORVILLIERS;74380;857.0;3038
MORVILLIERS;88700;869.0;432
MORVILLIERS;24370;679.0;216
MORVILLIERS;77370;1434.0;244
MORVILLIERS;77250;1092.0;700
MORVILLIERS;77590;694.0;5649
MORVILLIERS;77370;598.0;268
MORVILLIERS;76160;1674.0;2587
MORVILLIERS;27770;2091.0;997
MORVILLIERS;76690;937.0;285
NOGENT-SUR-SEINE;76290;423.0;809
NOGENT-SUR-SEINE;76700;420.0;8202
NOGENT-SUR-SEINE;14100;1304.0;21170
NOGENT-SUR-SEINE;14430;2428.0;308
NOGENT-SUR-SEINE;14140;458.0;190
NOGENT-SUR-SEINE;61310;712.0;80
NOGENT-SUR-SEINE;14140;432.0;70
NOGENT-SUR-SEINE;14340;340.0;51
NOGENT-SUR-SEINE;14130;531.0;460
NOGENT-SUR-SEINE;14910;686.0;1567
NOGENT-SUR-SEINE;14160;499.0;133
NOGENT-SUR-SEINE;14800;508.0;1185
NOGENT-SUR-SEINE;95690;745.0;367
NOGENT-SUR-SEINE;60430;1154.0;1141
NOGENT-SUR-SEINE;27430;439.0;200
NOGENT-SUR-SEINE;78840;1012.0;919
NOGENT-SUR-SEINE;78520;976.0;1857
NOGENT-SUR-SEINE;27930;814.0;567
NOGENT-SUR-SEINE;27730;467.0;152
NOGENT-SUR-SEINE;28500;631.0;502
NOGENT-SUR-SEINE;28260;375.0;274
NOGENT-SUR-SEINE;78980;1151.0;1906
NOGENT-SUR-SEINE;27700;673.0;328
NOGENT-SUR-SEINE;78270;691.0;1813
NOGENT-SUR-SEINE;27600;779.0;949
NOGENT-SUR-SEINE;27950;805.0;1125
NOGENT-SUR-SEINE;;596.0;248
NOGENT-SUR-SEINE;27700;3974.0;8179
NOGENT-SUR-SEINE;27920;642.0;1004
NOGENT-SUR-SEINE;78770;438.0;879
NOGENT-SUR-SEINE;78510;1376.0;11431
NOGENT-SUR-SEINE;78940;581.0;246
NOGENT-SUR-SEINE;78490;456.0;1138
NOGENT-SUR-SEINE;78124;478.0;537
NOGENT-SUR-SEINE;78750;178.0;3519
NOGENT-SUR-SEINE;95490;379.0;15868
NOGENT-SUR-SEINE;27500;960.0;9011
NOGENT-SUR-SEINE;27250;1743.0;426
NOGENT-SUR-SEINE;27250;1679.0;580
NOGENT-SUR-SEINE;27270;2119.0;392
NOGENT-SUR-SEINE;27260;497.0;364
NOGENT-SUR-SEINE;27560;674.0;209
NOGENT-SUR-SEINE;14100;435.0;305
NOGENT-SUR-SEINE;14130;743.0;171
NOGENT-SUR-SEINE;27210;663.0;379
NOGENT-SUR-SEINE;27300;812.0;311
